"intersection_id","tollgate_id","time_window","avg_travel_time"
"B","3","[2016-07-19 00:00:00,2016-07-19 01:00:00)","109.82"
"B","3","[2016-07-19 01:00:00,2016-07-19 02:00:00)","93.72"
"B","3","[2016-07-19 02:00:00,2016-07-19 03:00:00)","134.3"
"B","3","[2016-07-19 03:00:00,2016-07-19 04:00:00)","98.49"
"B","3","[2016-07-19 04:00:00,2016-07-19 05:00:00)","71.4"
"B","3","[2016-07-19 05:00:00,2016-07-19 06:00:00)","209.66"
"B","3","[2016-07-19 06:00:00,2016-07-19 07:00:00)","123.5"
"B","3","[2016-07-19 07:00:00,2016-07-19 08:00:00)","108.49"
"B","3","[2016-07-19 08:00:00,2016-07-19 09:00:00)","154.43"
"B","3","[2016-07-19 09:00:00,2016-07-19 10:00:00)","134.25"
"B","3","[2016-07-19 10:00:00,2016-07-19 11:00:00)","105.36"
"B","3","[2016-07-19 11:00:00,2016-07-19 12:00:00)","91.5"
"B","3","[2016-07-19 12:00:00,2016-07-19 13:00:00)","133.95"
"B","3","[2016-07-19 13:00:00,2016-07-19 14:00:00)","122.44"
"B","3","[2016-07-19 14:00:00,2016-07-19 15:00:00)","127.68"
"B","3","[2016-07-19 15:00:00,2016-07-19 16:00:00)","120.56"
"B","3","[2016-07-19 16:00:00,2016-07-19 17:00:00)","122.68"
"B","3","[2016-07-19 17:00:00,2016-07-19 18:00:00)","120.16"
"B","3","[2016-07-19 18:00:00,2016-07-19 19:00:00)","103.9"
"B","3","[2016-07-19 19:00:00,2016-07-19 20:00:00)","129.35"
"B","3","[2016-07-19 20:00:00,2016-07-19 21:00:00)","101.97"
"B","3","[2016-07-19 21:00:00,2016-07-19 22:00:00)","111.38"
"B","3","[2016-07-19 22:00:00,2016-07-19 23:00:00)","133.06"
"B","3","[2016-07-19 23:00:00,2016-07-20 00:00:00)","113.1"
"B","3","[2016-07-20 01:00:00,2016-07-20 02:00:00)","73.2"
"B","3","[2016-07-20 02:00:00,2016-07-20 03:00:00)","137.36"
"B","3","[2016-07-20 03:00:00,2016-07-20 04:00:00)","120.83"
"B","3","[2016-07-20 04:00:00,2016-07-20 05:00:00)","104.23"
"B","3","[2016-07-20 06:00:00,2016-07-20 07:00:00)","167.15"
"B","3","[2016-07-20 07:00:00,2016-07-20 08:00:00)","133.64"
"B","3","[2016-07-20 08:00:00,2016-07-20 09:00:00)","139.16"
"B","3","[2016-07-20 09:00:00,2016-07-20 10:00:00)","148.46"
"B","3","[2016-07-20 10:00:00,2016-07-20 11:00:00)","129.47"
"B","3","[2016-07-20 11:00:00,2016-07-20 12:00:00)","121.97"
"B","3","[2016-07-20 12:00:00,2016-07-20 13:00:00)","86.36"
"B","3","[2016-07-20 13:00:00,2016-07-20 14:00:00)","101.01"
"B","3","[2016-07-20 14:00:00,2016-07-20 15:00:00)","112.07"
"B","3","[2016-07-20 15:00:00,2016-07-20 16:00:00)","123.13"
"B","3","[2016-07-20 16:00:00,2016-07-20 17:00:00)","105.73"
"B","3","[2016-07-20 17:00:00,2016-07-20 18:00:00)","127.29"
"B","3","[2016-07-20 18:00:00,2016-07-20 19:00:00)","100.8"
"B","3","[2016-07-20 19:00:00,2016-07-20 20:00:00)","104.67"
"B","3","[2016-07-20 20:00:00,2016-07-20 21:00:00)","102.92"
"B","3","[2016-07-20 21:00:00,2016-07-20 22:00:00)","96.85"
"B","3","[2016-07-20 22:00:00,2016-07-20 23:00:00)","91.52"
"B","3","[2016-07-20 23:00:00,2016-07-21 00:00:00)","117.05"
"B","3","[2016-07-21 00:00:00,2016-07-21 01:00:00)","85.0"
"B","3","[2016-07-21 01:00:00,2016-07-21 02:00:00)","65.78"
"B","3","[2016-07-21 04:00:00,2016-07-21 05:00:00)","393.05"
"B","3","[2016-07-21 06:00:00,2016-07-21 07:00:00)","131.55"
"B","3","[2016-07-21 07:00:00,2016-07-21 08:00:00)","141.78"
"B","3","[2016-07-21 08:00:00,2016-07-21 09:00:00)","107.11"
"B","3","[2016-07-21 10:00:00,2016-07-21 11:00:00)","180.27"
"B","3","[2016-07-21 11:00:00,2016-07-21 12:00:00)","91.64"
"B","3","[2016-07-21 12:00:00,2016-07-21 13:00:00)","117.09"
"B","3","[2016-07-21 13:00:00,2016-07-21 14:00:00)","105.3"
