"tollgate_id","time_window","direction","volume"
"3","[2016-09-19 00:00:00,2016-09-19 01:00:00)","0","49"
"3","[2016-09-19 00:00:00,2016-09-19 01:00:00)","1","386"
"1","[2016-09-19 00:00:00,2016-09-19 01:00:00)","0","28"
"1","[2016-09-19 00:00:00,2016-09-19 01:00:00)","1","227"
"2","[2016-09-19 00:00:00,2016-09-19 01:00:00)","0","2"
"3","[2016-09-19 01:00:00,2016-09-19 02:00:00)","0","45"
"3","[2016-09-19 01:00:00,2016-09-19 02:00:00)","1","13"
"2","[2016-09-19 01:00:00,2016-09-19 02:00:00)","0","3"
"1","[2016-09-19 01:00:00,2016-09-19 02:00:00)","0","34"
"1","[2016-09-19 01:00:00,2016-09-19 02:00:00)","1","25"
"1","[2016-09-19 02:00:00,2016-09-19 03:00:00)","0","23"
"1","[2016-09-19 02:00:00,2016-09-19 03:00:00)","1","24"
"3","[2016-09-19 02:00:00,2016-09-19 03:00:00)","0","43"
"3","[2016-09-19 02:00:00,2016-09-19 03:00:00)","1","9"
"3","[2016-09-19 03:00:00,2016-09-19 04:00:00)","0","29"
"3","[2016-09-19 03:00:00,2016-09-19 04:00:00)","1","18"
"1","[2016-09-19 03:00:00,2016-09-19 04:00:00)","0","22"
"1","[2016-09-19 03:00:00,2016-09-19 04:00:00)","1","44"
"1","[2016-09-19 04:00:00,2016-09-19 05:00:00)","0","35"
"1","[2016-09-19 04:00:00,2016-09-19 05:00:00)","1","58"
"3","[2016-09-19 04:00:00,2016-09-19 05:00:00)","0","29"
"3","[2016-09-19 04:00:00,2016-09-19 05:00:00)","1","14"
"3","[2016-09-19 05:00:00,2016-09-19 06:00:00)","0","50"
"3","[2016-09-19 05:00:00,2016-09-19 06:00:00)","1","31"
"2","[2016-09-19 05:00:00,2016-09-19 06:00:00)","0","47"
"1","[2016-09-19 05:00:00,2016-09-19 06:00:00)","0","23"
"1","[2016-09-19 05:00:00,2016-09-19 06:00:00)","1","86"
"3","[2016-09-19 06:00:00,2016-09-19 07:00:00)","0","168"
"3","[2016-09-19 06:00:00,2016-09-19 07:00:00)","1","133"
"2","[2016-09-19 06:00:00,2016-09-19 07:00:00)","0","103"
"1","[2016-09-19 06:00:00,2016-09-19 07:00:00)","0","53"
"1","[2016-09-19 06:00:00,2016-09-19 07:00:00)","1","168"
"1","[2016-09-19 07:00:00,2016-09-19 08:00:00)","0","113"
"1","[2016-09-19 07:00:00,2016-09-19 08:00:00)","1","271"
"2","[2016-09-19 07:00:00,2016-09-19 08:00:00)","0","261"
"3","[2016-09-19 07:00:00,2016-09-19 08:00:00)","0","403"
"3","[2016-09-19 07:00:00,2016-09-19 08:00:00)","1","241"
"2","[2016-09-19 08:00:00,2016-09-19 09:00:00)","0","349"
"3","[2016-09-19 08:00:00,2016-09-19 09:00:00)","0","466"
"3","[2016-09-19 08:00:00,2016-09-19 09:00:00)","1","447"
"1","[2016-09-19 08:00:00,2016-09-19 09:00:00)","0","143"
"1","[2016-09-19 08:00:00,2016-09-19 09:00:00)","1","358"
"3","[2016-09-19 09:00:00,2016-09-19 10:00:00)","0","466"
"3","[2016-09-19 09:00:00,2016-09-19 10:00:00)","1","386"
"2","[2016-09-19 09:00:00,2016-09-19 10:00:00)","0","226"
"1","[2016-09-19 09:00:00,2016-09-19 10:00:00)","0","143"
"1","[2016-09-19 09:00:00,2016-09-19 10:00:00)","1","402"
"3","[2016-09-19 10:00:00,2016-09-19 11:00:00)","0","337"
"3","[2016-09-19 10:00:00,2016-09-19 11:00:00)","1","289"
"2","[2016-09-19 10:00:00,2016-09-19 11:00:00)","0","224"
"1","[2016-09-19 10:00:00,2016-09-19 11:00:00)","0","132"
"1","[2016-09-19 10:00:00,2016-09-19 11:00:00)","1","308"
"2","[2016-09-19 11:00:00,2016-09-19 12:00:00)","0","157"
"3","[2016-09-19 11:00:00,2016-09-19 12:00:00)","0","284"
"3","[2016-09-19 11:00:00,2016-09-19 12:00:00)","1","218"
"1","[2016-09-19 11:00:00,2016-09-19 12:00:00)","0","103"
"1","[2016-09-19 11:00:00,2016-09-19 12:00:00)","1","262"
"2","[2016-09-19 12:00:00,2016-09-19 13:00:00)","0","222"
"1","[2016-09-19 12:00:00,2016-09-19 13:00:00)","0","142"
"1","[2016-09-19 12:00:00,2016-09-19 13:00:00)","1","248"
"3","[2016-09-19 12:00:00,2016-09-19 13:00:00)","0","317"
"3","[2016-09-19 12:00:00,2016-09-19 13:00:00)","1","274"
"3","[2016-09-19 13:00:00,2016-09-19 14:00:00)","0","355"
"3","[2016-09-19 13:00:00,2016-09-19 14:00:00)","1","301"
